score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
241.268165,241.434453,241.368954,241.386599,4,0,0.0,241.232,241.509
241.52519,241.52519,241.52519,241.52519,1,0,0.0,241.509,241.786
242.082653,242.24962,242.15306166666664,242.126912,3,2,0.6666666666666666,242.064,242.341
242.402453,242.60277,242.47317566666666,242.414304,3,0,0.0,242.341,242.618
242.718747,242.81343,242.76608850000002,242.76608850000002,2,1,0.5,242.618,242.895
243.162765,243.162765,243.162765,243.162765,1,1,1.0,242.895,243.173
243.434862,243.434862,243.434862,243.434862,1,1,1.0,243.173,243.45
243.543399,243.710595,243.62699700000002,243.62699700000002,2,0,0.0,243.45,243.727
244.032695,244.032695,244.032695,244.032695,1,0,0.0,244.005,244.282
244.348882,244.428866,244.388874,244.388874,2,0,0.0,244.282,244.559
244.662169,244.674929,244.66854899999998,244.66854899999998,2,0,0.0,244.559,244.836
245.187922,245.224942,245.206432,245.206432,2,0,0.0,245.114,245.391
245.853272,245.853272,245.853272,245.853272,1,0,0.0,245.668,245.946
245.967453,246.126749,246.024236,245.978506,3,0,0.0,245.946,246.223
246.431229,246.431229,246.431229,246.431229,1,0,0.0,246.223,246.5
246.507631,246.507631,246.507631,246.507631,1,0,0.0,246.5,246.777
247.352953,247.5983,247.50132466666665,247.552721,3,0,0.0,247.332,247.609
247.669071,247.808575,247.738823,247.738823,2,0,0.0,247.609,247.886
247.954608,247.954608,247.954608,247.954608,2,0,0.0,247.886,248.164
248.438358,248.438358,248.438358,248.438358,1,0,0.0,248.164,248.441
249.032175,249.203783,249.117979,249.117979,2,0,0.0,248.996,249.273
249.324033,249.324033,249.324033,249.324033,1,0,0.0,249.273,249.55
249.685869,249.685869,249.685869,249.685869,1,1,1.0,249.55,249.827
249.980386,249.980386,249.980386,249.980386,1,1,1.0,249.827,250.105
250.256113,250.256113,250.256113,250.256113,1,1,1.0,250.105,250.382
250.490403,250.570977,250.53516866666666,250.544126,3,0,0.0,250.382,250.659
250.917208,250.917208,250.917208,250.917208,1,0,0.0,250.659,250.937
251.47193,251.47193,251.47193,251.47193,1,0,0.0,251.214,251.491
251.497502,251.657894,251.577698,251.577698,2,1,0.5,251.491,251.768
251.77387,251.77387,251.77387,251.77387,1,1,1.0,251.768,252.046
252.365244,252.365244,252.365244,252.365244,1,0,0.0,252.323,252.6
252.853811,252.853811,252.853811,252.853811,1,0,0.0,252.6,252.877
252.888208,252.979855,252.94900399999997,252.978949,3,0,0.0,252.877,253.155
253.505906,253.690898,253.57068400000003,253.515248,3,1,0.3333333333333333,253.432,253.709
253.935363,253.935363,253.935363,253.935363,1,0,0.0,253.709,253.987
254.204719,254.262953,254.2257516666667,254.209583,3,0,0.0,253.987,254.264
254.596337,254.756657,254.67860466666664,254.68282,3,2,0.6666666666666666,254.541,254.818
254.916941,255.089389,254.957368,254.917261,5,0,0.0,254.818,255.096
255.308586,255.308586,255.308586,255.308586,1,0,0.0,255.096,255.373
255.431886,255.59209,255.511988,255.511988,2,2,1.0,255.373,255.65
255.665683,255.665683,255.665683,255.665683,1,1,1.0,255.65,255.928
255.943703,255.943703,255.943703,255.943703,1,1,1.0,255.928,256.205
256.380198,256.380198,256.380198,256.380198,1,1,1.0,256.205,256.482
256.594826,256.682935,256.6388805,256.6388805,2,1,0.5,256.482,256.759
256.779482,256.779482,256.779482,256.779482,1,1,1.0,256.759,257.037
257.386676,257.386676,257.386676,257.386676,1,0,0.0,257.314,257.591
258.038935,258.038935,258.038935,258.038935,1,1,1.0,257.868,258.146
258.475791,258.475791,258.475791,258.475791,1,0,0.0,258.423,258.7
258.856564,258.856564,258.856564,258.856564,1,0,0.0,258.7,258.978
259.143453,259.193886,259.16026400000004,259.143453,3,0,0.0,258.978,259.255
259.542864,259.619896,259.58137999999997,259.58137999999997,2,1,0.5,259.532,259.809
259.853218,259.949205,259.887862,259.861163,3,2,0.6666666666666666,259.809,260.087
260.337917,260.337917,260.337917,260.337917,1,0,0.0,260.087,260.364
260.490548,260.613053,260.55201933333336,260.552457,3,0,0.0,260.364,260.641
260.734415,260.734415,260.734415,260.734415,1,0,0.0,260.641,260.919
261.019892,261.019892,261.019892,261.019892,1,0,0.0,260.919,261.196
261.87723,261.87723,261.87723,261.87723,1,0,0.0,261.75,262.028
262.180779,262.180779,262.180779,262.180779,1,0,0.0,262.028,262.305
263.434402,263.434402,263.434402,263.434402,1,0,0.0,263.414,263.691
263.712312,263.732967,263.7226395,263.7226395,2,1,0.5,263.691,263.969
264.851576,265.014346,264.932961,264.932961,2,0,0.0,264.8,265.078
265.410753,265.410753,265.410753,265.410753,1,0,0.0,265.355,265.632
